_id,Major1,Major2,Major3
1307258,DESIGN,,
1406346,BIOCHM,,
1505663,ACCTG,MATH,
1575800,NBIO,,
1551117,BIOCHM,,
1416575,LSJ,INFO,
1497913,DENT,,
1494505,ACMS,,
1409170,INFO,,
1244492,OSCM,,
1415665,LSJ,POL S,
1497482,BIOL,,
1097103,NBIO,PSYCH,
1590620,POL S,,
1579976,BIOL,,
1534845,C SCI,,
1548577,PHIL,,
1580659,COM,,
1410951,C LIT,,
1493855,PSYCH,COM,
1390798,ENGL,,
1742451,OSCM,,
1495721,LSJ,,
1398452,MATH,,
1621369,ANTH,SOC,
1587406,PH,,
1399974,FINANC,,
1556917,ECON,,
1569336,HIST,,
1727906,ART,,
1539021,BIOCHM,,
1341713,ENGL,,
1475763,IND E,,
1573252,ECON,,
1540561,C LIT,,
1828495,CHEM,,
1470651,DESIGN,,
1477881,CM,,
1475141,BIOL,,
1742339,POL S,,
1620729,C LIT,,
1830565,FINANC,CISB,
1591302,ECON,,
1581193,M E,,
1675592,BIOCHM,,
1488677,FINANC,,
1499998,E E,,
1414492,ACCTGX,,
1557747,ACCTG,MKTG,
1490470,STAT,,
1735780,INFO,,
1742787,LING,JAPAN,
1254342,MATH,,
1630293,ACCTG,FINANC,
1395334,NURS,,
1574359,BIOL,,
1326331,BIOL,,
1398602,E E,,
1397614,PSYCH,,
1398179,MKTG,,
1720534,ESRM,,
1410355,E E,,
1447097,E E,,
1560428,ECFS,,
1646889,CHEM,,
1309759,ESRM,,
289446,CIV E,,
1408465,ACMS,E E,
1492390,BIOCHM,,
1475762,CHEM E,,
1390116,HCDEE,,
1415551,ANTH,,
1727585,FINANC,,
1608016,ESS,,
1386126,SPHSC,,
1570530,PHYS,ASTR,
1412448,MATH,,
1523021,NURS,,
1407472,MKTG,FINANC,CISB
1717187,E E,,
1486379,BIOL,,
1506722,BIOL,,
1412440,ECON,ACMS,
1405583,ACCTG,,
1493386,MS E,,
1497382,N MATR,,
1394885,CHEM,MATH,
1646169,BIOEN,,
1392615,ECON,,
1468146,ESRM,,
1479443,MED,,
1565292,CIV E,,
1653315,BIOL,,
1471036,AFS,,
1679488,BIOCHM,,
1409062,MS E,,
1081934,M E,,
1575777,E E,,
1476083,COM,,
1408037,BIOCHM,,
1535456,BIOL,,
1589796,ENGL,,
1497921,SOC,,
1573489,BIOL,,
1560812,ECFS,,
1368752,A A,,
1569267,ECON,,
1652908,BIOL,,
1585401,E E,,
1718887,ECFS O,,
1724065,MATH,,
1831262,NURS,,
1470613,MKTG,,
1627802,MKTG,CISB,
1409784,A A,,
1577220,PSYCH,JAPAN,
1576287,ESS,,
1399048,COM,,
1577892,ECO,,
1397937,CIV E,,
1474509,ESS,,
1383908,A A,,
1593354,COM,,
1630411,M E,,
1389740,C SCI,,
1340020,KOREAN,,
1582250,HIST,,
1409046,LING,,
1406789,BIOL,,
1474164,COM,,
1406040,BIOCHM,,
1470416,ESRM,,
1494489,PH,,
1501557,ACCTG,,
1725226,ECFS,,
1630521,I S,ACCTG,
1307171,HIHIME,,
1569751,E E,C SCI,
1498401,ANTH,,
1614292,MEDXD,,
1499959,NURS,,
1543212,PSYCH,,
1504355,MATH,,
1482430,EDUCX,,
1494731,ECON,MICRO,
1619973,BIOCHM,,
1494458,SIS,,
1726825,PSYCH,,
1724286,SPHSCX,,
1630263,COM,,
1387302,E E,,
1530882,LSJ,,
1402299,CIV E,,
1496722,MICRO,,
1474548,COM,,
1546848,IND E,,
1496355,INFO,,
1587080,CHEM,,
1581121,LSJ,POL S,
1569824,COM,,
1320288,ESS,,
1537941,BIOL,,
1543682,PBSTDY,,
1413208,N MATR,,
1725531,DANCE,,
1498165,BIOCHM,,
1727961,CIV E,,
1629806,DRAMA,,
1412314,ECFS,,
1409735,PSYCH,,
1493877,SOC,,
1486300,INFO,,
838425,SIS,,
1406105,MUSAP,ITAL,
1307759,PSYCH,,
1399973,MICRO,,
1586147,BIOL,,
1304374,ANTH,,
1637000,A A,,
1719146,LSJ,,
1153719,CHEM E,,
1547013,CHEM E,,
1363528,ANTH,,
1499160,PHYS,,
1830212,SPHSC,,
1470465,FINANC,OSCM,
1463160,ART H,,
1527503,ANTH,AIS,
1482876,ESRM,,
1382160,ENGL,,
1417196,INFO,,
1383838,BIOCHM,BIOL,
1506456,BIOL,,
1231906,MKTG,ENTRE,
1381955,SPHSC,ECFS,
1385506,MKTG,,
1492148,POL S,,
1486503,N MATR,,
1361355,MS E,,
1630230,MATH,,
1768112,GEOG,,
1488668,SIS,LSJ,
718003,SOC,,
1593793,ESS,,
1153162,SOCS E,,
1570450,ESRM,,
1955603,BIOCHM,,
1489701,PSYCH,,
1408530,DESIGN,,
1444027,ENGL,,
1444300,SIS,,
1585864,M E,,
1387239,CSE M,,
1403131,COM,,
1829153,COM,PSYCH,
1631281,POL S,,
1406226,CSE M,,
1505821,SOC WF,,
1609199,CHEM,BIOCHM,
1588644,COM,,
1482585,SOC,,
1585731,MATH,,
1376808,GWSS,,
1647352,BIOL,,
1567213,PHYS,,
1377279,PSYCH,,
1629720,SPANS,,
1506573,MATH,,
1647463,SPHSC,,
1479836,BIOL,,
1410598,ESS,,
1588895,ESRM,,
1234845,HRMGT,,
1829279,GEOG,,
1360971,SOC,,
1340765,ACCTG,I S,
1473568,M E,,
1565474,PHYS,,
1573982,BIOL,,
1467323,MUSIC,,
1324715,B A,BIOL,
840666,BIOL,,
1629416,COM,,
1340161,ECFS,,
1382787,COM,,
1464509,POL S,,
1586232,CHEM E,,
1590305,MATH,,
1402645,N MATR,,
1483723,E E,BIOEN,
1477852,MATH,PHIL,
1304992,BIOL,,
1506072,ANTH,ANTH,
1383560,PHYS,CHEM,
1493204,C LIT,,
1629667,M E,,
1480956,FINANC,,
1398729,COM,,
1470980,PSYCH,,
1406039,PSYCH,,
982270,ISS O,,
1477125,I S,OSCM,
1495931,C SCI,,
1229225,MATH,ECON,
1585989,BIOCHM,,
1066411,ECFS O,,
1584775,COM,,
1557787,BIOL,,
1589631,PSYCH,,
1392113,ESRM,,
1358480,BIOCHM,,
1312546,JAPAN,,
1488276,PHIL,,
1416019,ECFS,,
1497671,ECFS,,
1397372,I S,MKTG,
1546619,ESS,,
1620757,ASTR,PHYS,
1576789,CIV E,,
1533294,NURS,,
1594884,ECON,,
510710,NURS,,
1399416,BIOL,,
1480713,ESS,,
1233129,SIS,,
1568452,BIOL,,
1589882,INFO,,
1493628,ESRM,,
681995,POL S,,
1573849,COM,,
1368753,C SCI,,
1412315,SISA,,
1492876,CHEM,,
1573308,ENVIR,,
1647329,INDIV,,
1324042,PSYCH,,
1623641,SOC WF,,
1829271,COM,,
1469657,BIOCHM,,
1401704,PSYCH,,
1419139,PHYS,,
1495077,GEOG,,
1579993,HIST,,
1057508,PH,,
1489098,DESIGN,,
1571045,B A,,
1535582,IND E,,
1435540,COM,,
1445078,BIOL,,
1391823,MS E,,
1587344,OSCM,CISB,
1340075,B A,,
1504159,POL S,,
1485025,BIOCHM,,
1574869,E E,,
1495916,COM,,
1570256,BIOL,,
1589728,SOC,COM,
1402874,ANTH,,
1414414,EURO,SWED,
1488580,ART,,
1726884,MKTG,,
1577603,I S,OSCM,
1394518,I S,OSCM,
1397832,PSYCH,,
1831576,PSYCH,,
1485837,INFO,,
1249397,N MATR,,
1494449,POL S,,
1583456,COM,,
1482850,B NM,,
1471246,ENGL,COM,
1741790,ANTH,,
1501723,ACMS,,
1561490,PH,,
1479183,ACCTG,,
1399107,MS E,,
1647343,ART,,
1629944,SIS,,
1590082,ARCHST,,
1406428,C SCI,MATH,
1474486,ACMS,ECON,
1499854,PSYCH,,
1472255,C SCI,,
1396633,ACCTGX,,
1388073,ACCTG,I S,
1579741,PHYS,,
1492753,BIOL,BIOCHM,
1393404,POL S,,
1488350,C SCI,,
1387197,IND E,,
1590927,PHYS,ASTR,
1483015,PSYCH,,
1478813,PH,,
1690720,BIOCHM,,
1405549,DESIGN,,
1737243,ECFS O,,
1620330,CIV E,,
1408181,ECON,,
1829368,NURS,,
1548463,PSYCH,,
1580224,AES,COM,
1501281,LING,PSYCH,
1396452,BIOCHM,PHYS,
1497060,LSJ,POL S,
1386835,FINANC,,
1315895,PSYCH,,
1498282,M E,A A,
1589024,BIOCHM,,
1410112,POL S,,
1238022,BIOCHM,,
1496384,C SCI,,
1706816,NURS,,
1400244,ACMS,,
1413993,M E,,
1410743,INFO,,
